Date,Close
5/27/2019,982.880005
6/10/2019,991.02002
6/17/2019,1005.070007
6/24/2019,1013.960022
7/1/2019,1018.72998
7/8/2019,1017.349976
7/15/2019,1033.439941
7/22/2019,1009.309998
7/29/2019,1008.429993
8/5/2019,991.030029
8/12/2019,980.289978
8/19/2019,975.26001
8/26/2019,995.76001
9/2/2019,988.780029
9/9/2019,992.25
9/16/2019,980.77002
9/23/2019,972.450012
9/30/2019,942.640015
10/7/2019,948.070007
10/14/2019,974.599976
10/21/2019,991.309998
10/28/2019,980.090027
11/4/2019,981.690002
11/11/2019,975.369995
11/18/2019,977.460022
11/25/2019,956.820007
12/2/2019,992.52002
12/9/2019,997.650024
12/16/2019,1018.320007
12/23/2019,1022.719971
12/30/2019,1021.48999
1/6/2020,1018.01001
1/13/2020,1029.640015
1/20/2020,1025.5
1/27/2020,961.97998
2/3/2020,977
2/10/2020,953.950012
2/17/2020,957.369995
2/24/2020,879.530029
3/2/2020,887.030029
3/9/2020,777.27002
3/16/2020,624.76001
3/23/2020,698.780029
3/30/2020,702.419983
4/6/2020,700.059998
4/13/2020,695.469971
4/20/2020,663.700012
4/27/2020,713.640015
5/4/2020,686.22998
5/11/2020,657.099976
5/18/2020,672.140015
5/25/2020,725.830017
6/1/2020,770.669983
6/8/2020,752.109985
6/15/2020,767.440002
6/22/2020,760.299988
6/29/2020,770.960022
7/6/2020,784.559998
7/13/2020,792.820007
7/20/2020,791.140015
7/27/2020,803.01001
8/3/2020,806.190002
8/10/2020,827.219971
8/17/2020,834.840027
8/24/2020,847.75
8/31/2020,825.619995
9/7/2020,778.320007
9/14/2020,780.320007
9/21/2020,760.320007
9/28/2020,750.859985
10/5/2020,771.77002
10/12/2020,783.450012
10/19/2020,789.820007
10/26/2020,790.5
11/2/2020,834.900024
11/9/2020,867.200012
11/16/2020,884.900024
11/23/2020,920.109985
11/30/2020,916.25
12/7/2020,929.940002
12/14/2020,962.359985
12/21/2020,936.799988
12/28/2020,934.890015
1/4/2021,979.309998
1/11/2021,988.75
1/18/2021,991.580017
1/25/2021,911.97998
2/1/2021,953.580017
2/8/2021,953.559998
2/15/2021,951.849976
2/22/2021,944.75
3/1/2021,941.359985
3/8/2021,950.830017
3/15/2021,957.73999
3/22/2021,938.830017
3/29/2021,901.859985
4/5/2021,906.48999
4/12/2021,907.669983
4/19/2021,902.73999
4/26/2021,893.72998
5/3/2021,880.719971
5/10/2021,882.929993
5/17/2021,858.330017
5/24/2021,866.669983
5/31/2021,909.48999
6/7/2021,901.640015
6/14/2021,863.159973
6/21/2021,853.849976
6/28/2021,851.52002
7/5/2021,840.340027
7/12/2021,847.150024
7/19/2021,845.710022
7/26/2021,823.039978
8/2/2021,844.140015
8/9/2021,851.390015
8/16/2021,855.039978
8/23/2021,845.710022
8/30/2021,873.919983
9/6/2021,870.200012
9/13/2021,862.440002
9/20/2021,866.25
9/27/2021,886.01001
10/4/2021,939.880005
10/11/2021,972.210022
10/18/2021,970.789978
10/25/2021,952.590027
11/1/2021,947.969971
11/8/2021,951.440002
11/15/2021,963.640015
11/22/2021,941.109985
11/29/2021,938.929993
12/6/2021,948.609985
12/13/2021,939.409973
12/20/2021,930.960022
12/27/2021,931.409973
1/3/2022,949.859985
1/10/2022,952.950012
1/17/2022,959.76001
1/24/2022,949.77002
1/31/2022,951.669983
2/7/2022,971.679993
2/14/2022,979.960022
2/21/2022,985.539978
2/28/2022,994.049988
3/7/2022,997.700012
3/14/2022,1003.77002
3/21/2022,1017.669983
3/28/2022,1027.52002
4/4/2022,1043.819946
4/11/2022,1035.670044
4/18/2022,1056.859985
4/25/2022,1085.439941
5/9/2022,995.97998
5/16/2022,1015.179993
5/23/2022,1031.930054
5/30/2022,1043.540039
6/6/2022,1019.23999
6/13/2022,997.900024
6/20/2022,1018.98999
6/27/2022,974.330017
7/4/2022,959.679993
7/11/2022,938.950012
7/18/2022,974.039978
7/25/2022,978.630005
8/1/2022,1007.799988
8/8/2022,1012.039978
8/15/2022,1022.98999
8/22/2022,1014.27002
8/29/2022,1019.789978
9/5/2022,1032
9/12/2022,1016.01001
9/19/2022,1025.630005
9/26/2022,1011.47998
10/3/2022,999.390015
10/10/2022,966.73999
10/17/2022,1000.359985
10/24/2022,1009.700012
10/31/2022,1005.97998
11/7/2022,1012.940002
11/14/2022,1009.5
11/21/2022,1001.73999
11/28/2022,989.590027
12/5/2022,933.01001
12/12/2022,951.190002
12/19/2022,934.26001
12/26/2022,937.179993
1/2/2023,913.02002
1/9/2023,905.48999
1/16/2023,941.01001
1/23/2023,949.72998
1/30/2023,952.799988
2/6/2023,952.450012
2/13/2023,954.380005
2/20/2023,946.929993
2/27/2023,938.960022
3/6/2023,937.140015
3/13/2023,924.25
3/20/2023,941.039978
3/27/2023,937.679993
4/3/2023,937.200012
4/10/2023,950.900024
4/17/2023,948.340027
4/24/2023,961.75
5/1/2023,945.049988
5/8/2023,932.219971
5/15/2023,939.570007
5/22/2023,942.25
5/29/2023,949.669983
6/5/2023,954.23999
6/12/2023,952.159973
6/19/2023,942.719971
6/26/2023,945.700012
7/3/2023,947.72998
7/10/2023,964.090027
7/17/2023,963.380005
7/24/2023,961.659973
7/31/2023,958.969971
8/7/2023,964.349976
8/14/2023,956.710022
8/21/2023,956.719971
8/28/2023,966.960022
9/4/2023,952.380005
9/11/2023,961.200012
9/18/2023,968.150024
9/25/2023,952.690002
10/2/2023,946.51001
10/9/2023,939.549988
10/16/2023,911.890015
10/23/2023,892.919983
10/30/2023,904.150024
11/6/2023,901.719971
11/13/2023,917.409973
11/20/2023,924.869995
11/27/2023,939.710022
12/4/2023,950.369995
12/11/2023,957.969971
12/18/2023,967.359985
12/25/2023,970.570007
1/1/2024,986.26001
1/8/2024,977.820007
1/15/2024,972.669983
1/22/2024,951.48999
1/29/2024,984.669983
2/5/2024,983.140015
2/12/2024,1006.630005
2/19/2024,994.159973
2/26/2024,987.900024
3/4/2024,1000.349976
3/11/2024,997.469971
3/18/2024,996.73999
3/25/2024,985.969971
4/1/2024,963.72998
4/15/2024,920.309998
4/22/2024,898.780029
4/29/2024,903.330017
5/6/2024,893.429993
5/13/2024,919.51001
5/20/2024,895.840027
5/27/2024,871.419983
